id,code,icao,name,aircraft_id
000ca6ab-1a26-420f-8234-1599cb1f4f51,,QJT,Qingdao Jiutian International Flight Academy,c4634b88-21c4-4a9f-9246-4656498dfba6
0021a826-5df0-44c8-a461-df253f920cfc,F5,ATG,Aerotranscargo,d1979a0c-a43e-482b-afff-697e42c18741
004680ab-3a8f-4a7d-be02-04d1b9af45db,,CEL,Ceiba Intercontinental,ca7e7b55-33df-48bc-805a-37027da27334
004b7121-80f5-490a-8eae-46bc7d25293a,,ATU,Aerotours,ece7cc95-414a-40e6-81a9-1e1328a9a53e
005f69d3-08f5-45e8-9580-f63df2e5000b,DO,DAV,Dornier Aviation Nigeria Aiep,0bfbedaa-8c9a-4bd8-a1d9-9f0ff4740b05
0081a5f0-ace9-4eb2-9440-45f1adb74c79,,HGR,Hangar 8,36d6c34a-1001-4681-b2f0-e49769b7244a
00822e5f-8bdb-4861-a627-f5d191e819c9,,UWJ,Ukrainian Wings,92317668-392c-458d-94a3-ed8884b931ce
008a434b-98b6-488a-bd14-9d681d9688c5,C5,UCA,CommuteAir,098d78e7-0916-41ec-9e1d-a59779105abe
0098f071-e5a2-451e-a389-386847868a85,,BNO,Avincis Aviation Norway,33947f2a-dc5d-44ef-834b-63dd3c02e618
00bf5cde-3f1a-4f3a-994d-c304faaae495,,SYN,Syncrude Canada,bfe7598b-598a-49c0-8afc-95f13e3aae90
00c77bd7-3ff5-49da-ada1-c9606d7a03c1,,DJR,Desert Jet,b84ed933-efac-4a76-b1ff-612b8e0c341f
00f891b0-a93e-48f6-a6ad-8319d3c89be4,E7,ESF,Estafeta,03b894cd-4588-4bc2-9f05-9c20bce8c54e
0155f3e4-7225-489b-9ce8-16aaa69e50fb,4K,KBA,Kenn Borek Air,8fa19a99-d710-438c-bd0d-0ad9ee968595
015f280c-877d-4e43-bbb7-f1d2b8c460e3,GZ,RAR,Air Rarotonga,bbd1c163-4719-44ff-9f41-a95cf35a8507
016bb618-4ae3-43a0-a5c4-f960a4bee3c2,A5,HOP,Air France Hop,d29651e4-10d6-4c9c-9105-4cc1a1eafcc7
01c89dd8-8920-47a7-90c8-424800075b9f,,ACK,Nantucket Airlines,03b894cd-4588-4bc2-9f05-9c20bce8c54e
0215c39e-a1a1-41d6-b85e-5f943a43af2c,,FPR,Peru - Air Force,5f1cf5a0-a12c-4e71-a2e4-364ea018f13a
0226836c-5363-4d1f-b1b9-7250f3b7c6d4,,FGS,Elitellina,6afc6d70-2dfc-4a00-bf88-9939c0b5e481
02365029-cec8-4082-bef8-0c752a38e08d,,PAV,ProAir Aviation,c4be09d8-a952-4f14-b7c9-5f754d20db98
023847bc-c7ca-469b-8809-83220c124b4c,,ABP,ABS Jets,18632bfc-8cf7-4104-9799-2be2b847d31b
02388337-3c1f-48a0-b366-3ae00d2af030,,FTT,Flight Fast Track,ce8a2b6d-b0fd-4a46-b231-8a96e39dfef5
023d360f-3526-44a9-a2b0-31d5236ff86c,,CCK,Carlisle Air Group,0bfbedaa-8c9a-4bd8-a1d9-9f0ff4740b05
023fa543-d5ca-4921-be8d-5c7817cc684c,,DKT,Encore Air Cargo,bbd1c163-4719-44ff-9f41-a95cf35a8507
025b67cd-b5ee-479c-b212-d4a07c566c53,XJ,TAX,Thai AirAsia X,1eae12c3-9008-413d-96e1-32479d9cd002
02729456-496c-47fd-b81d-aedd0c4e10cb,,AMQ,AMC Aviation,e5bce460-d20f-4f4a-99e9-1ba8012f994c
027cce5b-3a8b-4dce-86b1-af93db631e2a,,FSL,Flints Aero Services,03b894cd-4588-4bc2-9f05-9c20bce8c54e
027dc45c-c65f-4200-a5cd-a1f38fcdf7bc,,BYS,BySky,e3e700ff-ac8c-4aee-bc19-2ec23ee5c700
028f195d-7dd5-47c7-852f-bd9a4195ad59,HB,HGB,Greater Bay Airlines,a5012248-47a9-446b-9c50-dd024dbf9cf7
02a665c6-a31c-4e1f-8868-f5bbb9ebdd7f,TA,TAI,Avianca El Salvador,b342cc09-cb98-4c15-a2cc-feb55b3c965a
02b7999d-6333-4b36-817b-4e1e1788bf4a,8U,AAW,Afriqiyah Airways,afdd12e8-2a59-4389-8741-3a7366506719
03244c8f-6839-4ba3-8e0f-1ea8fb0c8a95,,SCM,American Jet International,2aa2a4a2-c9d9-4109-bf08-f482feb0641b
03454715-b003-4110-9922-2a1f3a339369,ZM,MBB,Air Manas,36d6c34a-1001-4681-b2f0-e49769b7244a
03559b2d-a3ac-4be7-8afa-5630a3c13fcc,,NPT,West Atlantic,2f236568-8167-4159-b1a5-e17f2e2fb83a
039e29e1-e61a-4706-90cc-4073882770c8,BU,DBP,CAA,36d6c34a-1001-4681-b2f0-e49769b7244a
03b1cde2-6e49-41c0-84e0-06676ba152bb,,TGT,SAAB Nyge Aero,bfe7598b-598a-49c0-8afc-95f13e3aae90
03b4f664-80fa-4a3a-9674-66778f90012a,,UDG,New England Patriots,e3996312-9e3c-428f-ab84-68d8128354ca
03d1d397-6e17-49b3-b9e1-9e3b33d78b99,,ELH,Avincis Aviation Italia,5537ccfb-0377-4acc-aa7b-5a5584aa1b49
03d751d5-1792-464a-934e-33ec2faa0480,,JLJ,Noble Air Charter,e9440fd1-1056-4252-afc6-0b185042190a
04167c77-eff2-4c99-aafe-2fa2d05a18fa,,NSP,Samaritan's Purse,eac44a30-be6b-4656-8ab7-b3491d50f865
0430cdbc-29b4-4cf8-a376-4d89ed3eb0bc,,WHS,Wiking Helikopter Service,c67908b8-cc77-4610-8452-a790dcd76c35
0434e321-4acc-4888-9f10-73bfcdd52fe7,,BBX,Bel Air Aviation,afdd12e8-2a59-4389-8741-3a7366506719
043b115e-7e45-470e-990c-e8ebd26ab757,3U,CSC,Sichuan Airlines,0bfbedaa-8c9a-4bd8-a1d9-9f0ff4740b05
044b8d8c-2abd-4086-a8d3-3a6031784fef,,DOR,General Atomic AeroTech Systems,43001143-6340-435a-b903-7efb8a27f1a9
048360d5-cdf3-42c7-8328-4196dff461d6,,KFE,Skyfirst,4c89c5df-53dc-40af-bd6a-03be54b03efc
04c25576-1575-4779-9cc0-e5e3a1830e1c,,VLZ,Volare Aviation,bbd1c163-4719-44ff-9f41-a95cf35a8507
04c6b70f-7a50-493e-a831-bb0301a7bd5b,,ULR,Offshore Helicopter Services,232751af-7aa4-4242-9f1f-4a276fd81daf
04cf03d4-8873-4799-96f5-c96e6ff91dd5,,ASF,Austria - Air Force,2aa2a4a2-c9d9-4109-bf08-f482feb0641b
04d35a1a-44e3-4ea9-8db5-25c1b1495d0a,,SYZ,Zil Air,d7f61863-39a0-4ee7-b939-f6649de7dbd0
04ded706-6f0e-4478-8b6d-e64445977a2d,PE,PEV,People's,0bfbedaa-8c9a-4bd8-a1d9-9f0ff4740b05
055df294-6443-4973-b0f5-620388d36d11,,UNY,Lunds Universitet,bfe7598b-598a-49c0-8afc-95f13e3aae90
056e02f0-06b4-4f80-9707-2f7fd9df7227,H2,SKU,Sky Airline,0e919774-1941-4106-9509-a6ff216b6b42
05921cd9-f696-4076-98d2-48250eb5b8b7,M2,MHV,MHS Aviation,f9be3175-950c-4970-b960-ac852cc2da91
